user,year,camera,longitude,latitude,url
44124284226@N01,2012,PANASONIC,-122.282795,37.843236,http://farm9.staticflickr.com/8213/8306331950_cc64ff28ba.jpg
64886285@N07,2011,CANON,-122.32551,37.562341,http://farm6.staticflickr.com/5074/5908319737_2b517d62e2.jpg
44124466908@N01,2013,NIKON,-122.313273,37.824779,http://farm4.staticflickr.com/3764/9670220618_138e5f1ff1.jpg
79689276@N00,2012,HTC,-122.261412,37.875294,http://farm9.staticflickr.com/8301/8012735867_d7f6dd120f.jpg
44665895@N00,2007,PANASONIC,-122.397823,37.794999,http://farm3.staticflickr.com/2267/1855388416_2a0eaa9306.jpg
74937968@N00,2006,CANON,-122.403144,37.789912,http://farm1.staticflickr.com/70/200951854_414c9716c2.jpg
99984744@N00,2012,CANON,-122.477409,37.810902,http://farm8.staticflickr.com/7245/7161466399_50059bfd88.jpg
44048128@N00,2009,CANON,-122.416534,37.776413,http://farm3.staticflickr.com/2521/3718893979_71b3d6499c.jpg
21716129@N00,2011,APPLE,-122.401834,37.7845,http://farm7.staticflickr.com/6122/5929681788_9a38c52797.jpg
12734746@N00,2007,NIKON,-122.471787,37.808779,http://farm1.staticflickr.com/216/497087089_ef63fb4f78.jpg
51035647214@N01,2007,NA,-122.397528,37.779029,http://farm3.staticflickr.com/2305/1893509259_bfceae244c.jpg
33917831@N00,2008,CANON,-122.450675,37.714077,http://farm3.staticflickr.com/2650/3795229497_d9b61d4480.jpg
27403767@N00,2006,CANON,-122.276229,37.773437,http://farm1.staticflickr.com/60/184873082_8c3eeea2ea.jpg
81438226@N00,2011,NA,-122.421,37.7592,http://farm6.staticflickr.com/5169/5725556738_a9b1e0e7f0.jpg
32762124@N00,2006,CANON,-122.46858,37.771397,http://farm1.staticflickr.com/32/100355161_bd4aca4116.jpg
10011817@N00,2009,PANASONIC,-122.466781,37.770236,http://farm4.staticflickr.com/3436/3227076849_1a0f0831df.jpg
51035555243@N01,2004,CANON,-122.435181,37.761675,http://farm1.staticflickr.com/14/19685511_9014836473.jpg
22526649@N03,2012,SONY,-122.270764,37.807796,http://farm9.staticflickr.com/8153/7634385286_3cfcae5474.jpg
24203582@N04,2011,NIKON,-122.419334,37.774833,http://farm6.staticflickr.com/5106/5774441177_d3c3ba0534.jpg
7298538@N06,2008,NA,-122.414841,37.748741,http://farm4.staticflickr.com/3196/2670065757_fffc8f3abc.jpg
42151838@N03,2013,APPLE,-122.408334,37.749666,http://farm6.staticflickr.com/5450/8990475482_318c29448a.jpg
44124466908@N01,2009,NIKON,-122.42855,37.763469,http://farm3.staticflickr.com/2602/4185227991_276c6ee2cd.jpg
24703618@N00,2009,CANON,-122.395759,37.781246,http://farm4.staticflickr.com/3642/3381266262_83b8f8225f.jpg
90784314@N00,2011,PANASONIC,-122.379992,37.714703,http://farm7.staticflickr.com/6211/6275729924_7d81fdce0e.jpg
77997130@N00,2011,CASIO,-122.448278,37.803555,http://farm7.staticflickr.com/6160/6186747475_4236d6f32f.jpg
68096480@N00,2007,CANON,-122.487645,37.780059,http://farm1.staticflickr.com/178/368156210_536fc61177.jpg
82847947@N00,2009,CANON,-122.324395,37.805443,http://farm4.staticflickr.com/3658/3588412760_d98a942539.jpg
