year,tag,count
1899,governorn's,1
1899,columbus,1
1899,photo,2
1899,vintage,1
1899,governor's,1
1899,jay,1
1899,house,1
1899,army,1
1899,arsenal,1
1899,ny,1
1899,historic,1
1899,york,2
1899,closed,1
1899,island,1
1899,new,2
1899,fort,3
1900,apartment,1
1900,usa,1
1900,us,1
1900,2nd,1
1900,york,1
1900,interior,1
1900,new,1
1900,avenue,1
1900,1900,1
1900,furniture,1
1949,and,1
1949,officers',1
1949,governor's,1
1949,house,1
1949,national,1
1949,preservation,1
1949,quarters,1
1949,guard,1
1949,army,1
1949,jay,1
1949,vintage,1
1949,ny,1
1949,nrhp,1
1949,photo,2
1949,new,2
1949,then,1
1949,columbus,1
1949,park,1
1949,coast,1
1949,historic,3
1949,york,2
1949,now,1
1949,fort,3
1949,island,1
1949,register,1
1949,nolan,1
1966,city,1
1966,maasdam,1
1966,1966,1
1966,kodachrome,1
1966,1960s,1
1966,skyline,1
1966,york,2
1966,nyc,1
1966,new,2
1966,dawn,1
1966,sunrise,1
1974,new,2
1974,louie's,2
1974,york,2
1974,sloppy,2
1976,full,1
1976,o'nuts,1
1976,usa,1
1976,self,1
1976,ny,1
1976,wong,1
1976,leslie,1
1976,york,1
1976,new,1
1976,portrait,1
1976,chock,1
1979,city,2
1979,greenwich,1
1979,broadside,1
1979,topical,1
1979,benefit,1
1979,music,3
1979,york,1
1979,village,1
1979,new,1
1979,folksong,1
1979,folk,4
1979,concert,1
1980,the,6
1980,saumi,1
1980,square,1
1980,ned,1
1980,canoniani,4
1980,wall,1
1980,ferret,1
1980,emot,4
1980,canon,4
1980,ank,2
1980,states,3
1980,bring,6
1980,as,6
1980,street,1
1980,moi,2
1980,at,6
1980,1st,6
1980,november,12
1980,falconelizabeth,2
1980,warren,9
1980,matt,1
1980,united,3
1980,wish,6
1980,would,6
1980,floor,9
1980,rachel,2
1980,rose,1
1980,5th,3
1980,flash,2
1980,flat,1
1980,plaid,2
1980,nick,1
1980,beer,1
1980,nicole,1
1980,time,1
1980,party,21
1980,18/125,4
1980,300d,4
1980,mike,1
1980,ankatank,2
1980,hula,1
1980,hdr,1
1980,2005,6
1980,jp,2
1980,new,9
1980,notte,2
1980,kiera,1
1980,explore,4
1980,4th,6
1980,york,9
1980,nyc,9
1980,be,6
1980,you,12
1980,icon,4
1980,pankhury,2
1980,no,3
1980,eye-fi,3
1980,same,6
1980,priyanka,2
1980,icons,8
1980,rarrr,9
1980,eos,4
1980,someone,6
1980,iron,1
1980,night,2
1980,2008,2
1980,sigma,4
1980,st.,9
1980,aaank,2
1985,new,2
1985,york,2
1989,joncro,1
1989,march,1
1989,newyorkcity,1
1989,footprints,1
1989,brittany,1
1989,snow,1
1989,1989,2
1989,jonathancro,1
1989,tracks,1
1989,nyu,2
1989,film,1
1990,1990,10
1990,gfy,1
1990,ghwb,1
1990,june,5
1990,george,1
1990,bush,1
1990,aug90,1
1990,oct,4
1991,skyscrapers,1
1991,blackandwhite,3
1991,southside,1
1991,trade,1
1991,jan91,2
1991,film,5
1991,city,5
1991,joncro,2
1991,usa,3
1991,cisc1970,3
1991,williamsburg,3
1991,liberty,4
1991,b/w,3
1991,ny,2
1991,black,3
1991,nyc,6
1991,white,3
1991,manhattan,5
1991,brooklyn,3
1991,black&white,3
1991,york,10
1991,statue,4
1991,new,10
1991,world,1
1991,scancafe,5
1991,1991,8
1991,center,1
1991,island,2
1991,00327_n_7ab88k78v1661,1
1991,jonathancro,2
1991,wtc,1
1991,of,2
1992,broadway,1
1992,york,1
1992,manhattan,1
1992,macy's,1
1992,new,1
1993,arts,5
1993,joncro,1
1993,columbia,5
1993,university,5
1993,undergraduate,5
1993,prentis,5
1993,manhattan,1
1993,jonathancro,1
1993,visual,5
1993,studio,5
1993,york,6
1993,new,6
1993,harlem,5
1993,sculpture,5
1993,hall,5
1993,film,1
1996,building,1
1996,city,2
1996,summer,2
1996,of,1
1996,skyline,1
1996,liberty,1
1996,state,1
1996,college,2
1996,york,4
1996,statue,1
1996,new,4
1996,empire,1
1997,giants,1
1997,meadowlands,1
1997,beth,1
1997,usa,4
1997,1997,2
1997,princeton,1
1997,b.,1
1997,band,1
1997,stadium,1
1997,november,1
1997,jonathan,1
1997,sharon,1
1998,peacock,1
1998,city,3
1998,summer,3
1998,claremont,1
1998,no,1
1998,signage,1
1998,steph,2
1998,chemists,1
1998,college,3
1998,york,6
1998,parking,1
1998,new,6
1998,sign,1
1999,toren,2
1999,guggenheim,2
1999,staten,12
1999,sayf,1
1999,street,1
1999,graffiti,1
1999,unesco,1
1999,chambers,1
1999,macworld,5
1999,film,2
1999,city,5
1999,usa,1
1999,architectuur,2
1999,museum,2
1999,espo,1
1999,nyc,1
1999,manhattan,12
1999,juni,4
1999,photography,1
1999,mei,8
1999,york,23
1999,new,23
1999,lente,8
1999,1999,14
1999,werelderfgoed,1
1999,ektachrome,1
1999,slide,1
1999,expo,5
1999,verenigde,12
1999,gardens,4
1999,1001,4
2000,stones,1
2000,ny,1
2000,world,2
2000,apx100,1
2000,shoes,1
2000,gold,1
2000,show,1
2000,dance,1
2000,williamsburg,15
2000,urban,2
2000,neon,1
2000,yellow,1
2000,trade,2
2000,foot,1
2000,windy,1
2000,signs,1
2000,vamp,1
2000,messe,1
2000,kinetic,1
2000,resa,7
2000,wearable,1
2000,emily,5
2000,agfa,1
2000,noir,1
2000,pope,2
2000,mud,1
2000,mask,1
2000,silver,1
2000,window,1
2000,black,1
2000,central,1
2000,courtney,2
2000,piano,1
2000,steel,1
2000,asaemilyraw,1
2000,washingtonheights,2
2000,400,1
2000,food,2
2000,horror,1
2000,birthdayparty,2
2000,dark,1
2000,wakana,5
2000,new,67
2000,uniontheologicalseminary,2
2000,fatale,1
2000,silk,1
2000,nacre,1
2000,hall,1
2000,bryan,1
2000,cold,1
2000,40d,2
2000,bar,1
2000,lost,1
2000,bosnia,1
2000,artist,1
2000,joel,8
2000,bracelet,1
2000,gun,2
2000,bijoux,1
2000,oblik,1
2000,carrion,1
2000,skyline,2
2000,cbgb,1
2000,thighs,1
2000,rock,1
2000,baroque,1
2000,movement,1
2000,jessica,1
2000,art,1
2000,people,1
2000,seas,1
2000,buildings,1
2000,competition,16
2000,street,3
2000,signage,1
2000,portrait,1
2000,blues,1
2000,bauble,1
2000,orchid,16
2000,verenigde,1
2000,matt,1
2000,greenpoint,5
2000,velvet,1
2000,jewelry,1
2000,forlorn,1
2000,metalthread,1
2000,rings,1
2000,newark,1
2000,seder,1
2000,state,1
2000,blur,2
2000,earrings,1
2000,femme,1
2000,christmas,1
2000,red,2
2000,architecture,4
2000,dunn,1
2000,vixen,1
2000,newyork,3
2000,flyers,1
2000,topcropspigoo,2
2000,pub,1
2000,water,1
2000,iphoto,15
2000,wtc,1
2000,york,67
2000,worthy,2
2000,alone,1
2000,seely,2
2000,vuescan,2
2000,sidelinker,1
2000,thread,1
2000,of,1
2000,punk,1
2000,nightclub,1
2000,motion,2
2000,bird,1
2000,birthday,2
2000,franklin,1
2000,smoke,2
2000,chain,1
2000,south,1
2000,kerstmis,1
2000,atelier,1
2000,kerst,1
2000,bogeyman,1
2000,denise,1
2000,hook,2
2000,me,1
2000,comic,15
2000,macworld,1
2000,sarah,2
2000,city,6
2000,toy,1
2000,usa,6
2000,&,1
2000,carbonell,1
2000,night,2
2000,long,1
2000,pearl,1
2000,music,2
2000,brooklynbridge,1
2000,convention,1
2000,sekularac,2
2000,ghost,1
2000,sweetheart,1
2000,building,3
2000,bobble,1
2000,viktor,2
2000,canon,2
2000,musician,1
2000,astoria,1
2000,tiger,1
2000,tradeshow,1
2000,viaggi,17
2000,lowlight,1
2000,longexposure,2
2000,shoot,16
2000,bqe,1
2000,wet,1
2000,handmade,1
2000,n,1
2000,uts,2
2000,expo,1
2000,sculpture,1
2000,and,1
2000,bridge,3
2000,chad,2
2000,scan,1
2000,indie,1
2000,december,1
2000,ann,2
2000,lowry,1
2000,staten,1
2000,rip,1
2000,states,2
2000,raw,5
2000,scanned,1
2000,cns2003,3
2000,home,1
2000,dress,1
2000,empire,1
2000,film,2
2000,party,2
2000,microphone,1
2000,united,2
2000,winter,1
2000,architectuur,1
2000,mia,1
2000,vintage,1
2000,travel,18
2000,rockwood,1
2000,snow,2
2000,songwriter,1
2000,adornment,1
2000,book,15
2000,grand,1
2000,nyc,15
2000,manhattan,4
2000,neopan,1
2000,plant,16
2000,oil,1
2000,hebib,1
2000,dusk,1
2000,rain,1
2000,holidays,1
2000,brooklyn,23
2000,flower,16
2000,posters,1
2000,america,2
2000,pies,1
2000,exposure,1
2000,jones,1
2000,cbgb's,1
